"Year","Age","Gender","Race","Prev_Normal","Prev_Under","Prev_Over","Prev_Obese"
1975,0,"Male","Non_Hispanic_White",0.0405935368752348,0.95841615567352,0.00099030745124686,0
1976,0,"Male","Non_Hispanic_White",0.0415081411031668,0.957359553202347,0.00113230569448679,0
1977,0,"Male","Non_Hispanic_White",0.0424227453310986,0.956302950731174,0.00127430393772671,0
1978,0,"Male","Non_Hispanic_White",0.0433373495590304,0.955246348260002,0.00141630218096664,0
1979,0,"Male","Non_Hispanic_White",0.0442519537869622,0.954189745788832,0.00155830042420657,0
1980,0,"Male","Non_Hispanic_White",0.045166558014894,0.953133143317659,0.00170029866744649,0
1981,0,"Male","Non_Hispanic_White",0.0460811622428259,0.952076540846487,0.00184229691068642,0
1982,0,"Male","Non_Hispanic_White",0.0469957664707576,0.951019938375317,0.00198429515392635,0
1983,0,"Male","Non_Hispanic_White",0.0479103706986895,0.949963335904145,0.00212629339716627,0
1984,0,"Male","Non_Hispanic_White",0.0488249749266213,0.948906733432973,0.0022682916404062,0
1985,0,"Male","Non_Hispanic_White",0.0497395791545531,0.947850130961801,0.00241028988364613,0
1986,0,"Male","Non_Hispanic_White",0.0506541833824849,0.94679352849063,0.00255228812688605,0
1987,0,"Male","Non_Hispanic_White",0.0515687876104167,0.945736926019457,0.00269428637012598,0
1988,0,"Male","Non_Hispanic_White",0.0524833918383487,0.944680323548284,0.00283628461336591,0
1989,0,"Male","Non_Hispanic_White",0.0533979960662805,0.943623721077113,0.00297828285660584,0
1990,0,"Male","Non_Hispanic_White",0.0543126002942123,0.942567118605943,0.00312028109984577,0
1991,0,"Male","Non_Hispanic_White",0.0552272045221441,0.941510516134771,0.0032622793430857,0
1992,0,"Male","Non_Hispanic_White",0.0580070528636782,0.9390931432758,0.00289980386052062,0
1993,0,"Male","Non_Hispanic_White",0.0607869012052122,0.936675770416832,0.00253732837795554,0
1994,0,"Male","Non_Hispanic_White",0.0635667495467463,0.934258397557864,0.00217485289539046,0
1995,0,"Male","Non_Hispanic_White",0.0663465978882802,0.931841024698895,0.00181237741282538,0
1996,0,"Male","Non_Hispanic_White",0.0691264462298143,0.929423651839924,0.00144990193026031,0
1997,0,"Male","Non_Hispanic_White",0.0719062945713484,0.927006278980956,0.00108742644769523,0
1998,0,"Male","Non_Hispanic_White",0.0746861429128824,0.924588906121988,0.000724950965130155,0
1999,0,"Male","Non_Hispanic_White",0.0774659912544165,0.922171533263019,0.000362475482565077,0
2000,0,"Male","Non_Hispanic_White",0.0802458395959506,0.919754160404049,0,0
2001,0,"Male","Non_Hispanic_White",0.0831742253002252,0.916821869836142,3.90486363307905e-06,0
2002,0,"Male","Non_Hispanic_White",0.0861026110044999,0.913889579268233,7.8097272661581e-06,0
2003,0,"Male","Non_Hispanic_White",0.0890309967087745,0.910957288700326,1.17145908992371e-05,0
2004,0,"Male","Non_Hispanic_White",0.0919593824130491,0.908024998132418,1.56194545323162e-05,0
2005,0,"Male","Non_Hispanic_White",0.0948877681173238,0.905092707564512,1.95243181653952e-05,0
2006,0,"Male","Non_Hispanic_White",0.0978161538215986,0.902160416996604,2.34291817984743e-05,0
2007,0,"Male","Non_Hispanic_White",0.100744539525873,0.899228126428696,2.73340454315533e-05,0
2008,0,"Male","Non_Hispanic_White",0.103672925230148,0.896295835860789,3.12389090646324e-05,0
2009,0,"Male","Non_Hispanic_White",0.106601310934423,0.893363545292879,3.51437726977114e-05,0
2010,0,"Male","Non_Hispanic_White",0.109529696638697,0.890431254724972,3.90486363307905e-05,0
2011,0,"Male","Non_Hispanic_White",0.109638546080698,0.889427611138847,0.000381431782378996,0.000552410998076429
2012,0,"Male","Non_Hispanic_White",0.1097473955227,0.88842396755272,0.000723814928427202,0.00110482199615286
2013,0,"Male","Non_Hispanic_White",0.109856244964701,0.887420323966595,0.00106619807447541,0.00165723299422929
2014,0,"Male","Non_Hispanic_White",0.109965094406702,0.886416680380469,0.00140858122052362,0.00220964399230572
2015,0,"Male","Non_Hispanic_White",0.110073943848703,0.885413036794342,0.00175096436657182,0.00276205499038213
2016,0,"Male","Non_Hispanic_White",0.110182793290704,0.884409393208216,0.00209334751262003,0.00331446598845856
2017,0,"Male","Non_Hispanic_White",0.110291642732706,0.883405749622091,0.00243573065866823,0.00386687698653499
2018,0,"Male","Non_Hispanic_White",0.110400492174707,0.882402106035965,0.00277811380471644,0.00441928798461142
2019,0,"Male","Non_Hispanic_White",0.110509341616708,0.881398462449839,0.00312049695076465,0.00497169898268785
1975,1,"Male","Non_Hispanic_White",0.0405935368752348,0.95841615567352,0.00099030745124686,0
1976,1,"Male","Non_Hispanic_White",0.0415081411031668,0.957359553202347,0.00113230569448679,0
1977,1,"Male","Non_Hispanic_White",0.0424227453310986,0.956302950731174,0.00127430393772671,0
1978,1,"Male","Non_Hispanic_White",0.0433373495590304,0.955246348260002,0.00141630218096664,0
1979,1,"Male","Non_Hispanic_White",0.0442519537869622,0.954189745788832,0.00155830042420657,0
1980,1,"Male","Non_Hispanic_White",0.045166558014894,0.953133143317659,0.00170029866744649,0
1981,1,"Male","Non_Hispanic_White",0.0460811622428259,0.952076540846487,0.00184229691068642,0
1982,1,"Male","Non_Hispanic_White",0.0469957664707576,0.951019938375317,0.00198429515392635,0
1983,1,"Male","Non_Hispanic_White",0.0479103706986895,0.949963335904145,0.00212629339716627,0
1984,1,"Male","Non_Hispanic_White",0.0488249749266213,0.948906733432973,0.0022682916404062,0
1985,1,"Male","Non_Hispanic_White",0.0497395791545531,0.947850130961801,0.00241028988364613,0
1986,1,"Male","Non_Hispanic_White",0.0506541833824849,0.94679352849063,0.00255228812688605,0
1987,1,"Male","Non_Hispanic_White",0.0515687876104167,0.945736926019457,0.00269428637012598,0
1988,1,"Male","Non_Hispanic_White",0.0524833918383487,0.944680323548284,0.00283628461336591,0
1989,1,"Male","Non_Hispanic_White",0.0533979960662805,0.943623721077113,0.00297828285660584,0
1990,1,"Male","Non_Hispanic_White",0.0543126002942123,0.942567118605943,0.00312028109984577,0
1991,1,"Male","Non_Hispanic_White",0.0552272045221441,0.941510516134771,0.0032622793430857,0
