"BMI_9","BMI_10","BMI_11","BMI_12","BMI_13","BMI_14","BMI_15","BMI_16","BMI_17","BMI_18","BMI_19","BMI_20","BMI_21","BMI_22","BMI_23","BMI_24","BMI_25","BMI_26","BMI_27","BMI_28","BMI_29","BMI_30","BMI_31","BMI_32","BMI_33","BMI_34","BMI_35","BMI_36","BMI_37","BMI_38","BMI_39","BMI_40","BMI_41","BMI_42","BMI_43","BMI_44","BMI_45","BMI_46","BMI_47","BMI_48","BMI_49","BMI_50","BMI_51","BMI_52","BMI_53","BMI_54","BMI_55","BMI_56","BMI_57","BMI_58","BMI_59","BMI_60","BMI_61","BMI_62","BMI_63","BMI_64","BMI_65","BMI_66","BMI_67","BMI_68","BMI_69","BMI_70","BMI_71","BMI_72","BMI_73"
"Age_2",0,0.000443794014858473,0.00375583385968833,0.0191482137417382,0.0610575999452212,0.127169054541377,0.182303699049365,0.189146878333019,0.149786008556308,0.0995081026907133,0.0633188521132049,0.0423659800825323,0.0287767311191086,0.0168462166141106,0.00760822860213255,0.00305190036484104,0.00144323789738288,0.000875480800250593,0.00072118796785136,0.00050417844103538,0.000290467340107128,0.000372109563841853,0.000597577334940423,0.000556238909018047,0.000272881415991001,7.01155472596313e-05,9.4311541030388e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_3",0,0.000385584893711301,0.00339626919885551,0.0179901880268928,0.0594539880910232,0.127476772151972,0.18497735552781,0.190234488915674,0.147207673330168,0.0955425704209961,0.0610423755114292,0.0420988885546247,0.028810868918782,0.0165686671926812,0.00750244256692784,0.00341866040944952,0.00269668738346412,0.00336147430241848,0.00342746152799812,0.0020400087984958,0.000732285016138463,0.000390840946861703,0.000477427274619167,0.0004453625938631,0.00023763780412191,7.17575436582287e-05,1.22630973638291e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_4",0,0.000804414993657048,0.00515389679373346,0.0217620136595676,0.0616438336620958,0.119973760165144,0.166199169031474,0.171887182424168,0.140941716648022,0.0989475532315935,0.0656030122731281,0.0451198621069574,0.0320384626999829,0.0215599065719449,0.0138795779578094,0.00933617996837599,0.00664793516314287,0.00496027990271281,0.0039501353132017,0.00326382653512448,0.002600781984656,0.00180580665878083,0.00106789246817425,0.000556658202815366,0.000228130137447756,5.8489057697566e-05,9.5223885928611e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_5",0.000105773266031492,0.0010247941036972,0.0057690303619519,0.0220906659559831,0.0584164189596769,0.109361631510534,0.150269758439732,0.158462437102663,0.135059570248785,0.0990805842093829,0.0674772399109523,0.046572887180915,0.0343899007780257,0.0266842196486945,0.021453611522912,0.017443489459616,0.0130653241545734,0.0083968424771935,0.00500556085333513,0.00357093104127232,0.00355442206683676,0.00402014753689888,0.00394879594268619,0.00286656936808585,0.00140342277512587,0.000438346615054844,6.76245093849357e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_6",0.00111892411097081,0.00416058220634731,0.0124486974165424,0.0299396344954636,0.0580017939017017,0.0912262937432915,0.118152854240497,0.128558859307627,0.120427507232745,0.0999660561809908,0.0762827702232664,0.0562948743042887,0.0425371192719678,0.0339880757469413,0.0283700718170511,0.0237320563815423,0.0190664614346249,0.0144829928917148,0.0106651679233703,0.00799144310440197,0.00633752021884657,0.00531311377405572,0.00440485457769262,0.00325173180559035,0.00195792170731162,0.000911210653665673,0.000318452074942375,8.21160139592927e-05,1.0843238589722e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_7",0.00444652777647266,0.0100987128148198,0.0200961093703252,0.0351342513790979,0.054138193608685,0.0739485736786679,0.0901847186535907,0.0990890545416626,0.0991535934274431,0.0916323238496523,0.0796224962759991,0.0665251928882797,0.0547156092429941,0.0450355523378034,0.0371581128087224,0.0303692949592514,0.0242325784284018,0.0187891984332639,0.0143302688399445,0.0110347418208426,0.00876950567403179,0.0071658702816754,0.00584109631750831,0.00458211420570492,0.00338886623556044,0.00238139432227051,0.00166587840636647,0.00125612416424185,0.00107162491707487,0.000989388826889092,0.00090625800894556,0.000774507369789182,0.000598680165166272,0.000411830231179506,0.000249049137539205,0.000130893309295516,5.91030214046505e-05,1.69131243768412e-05,5.7971450594515e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_8",0.00743040347574946,0.0126927150686243,0.0202951144324187,0.0302757455039166,0.0420315303045671,0.0542525563299153,0.0651815584960066,0.0731422423280456,0.0770873953414572,0.0768938585592049,0.0732887538895397,0.0674626776672596,0.060594426348165,0.0535145694150788,0.0466330378781501,0.0400909385016921,0.0339732047411879,0.0284253231352763,0.0236260855620495,0.0196807904226387,0.016556730986882,0.0140960258708777,0.0120896163838331,0.0103552847421217,0.00878198585351947,0.00732953099756307,0.00600093622813968,0.00481382339219193,0.00378269277650969,0.00291128072619355,0.0021907701781674,0.0016036350820925,0.00113120317659033,0.000759241021911497,0.000478108595854723,0.000278831610276675,0.000149142906298885,7.2758667502793e-05,3.23406877597786e-05,1.31327147699827e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_9",0.00692436366119873,0.0115521017535297,0.0179917400098216,0.0261867345436781,0.0356759273064014,0.0455897582080658,0.0548206668885584,0.0622903122420516,0.0672307039149266,0.0693674555274408,0.0689094312082492,0.066381360310062,0.0623957690691708,0.0574682767585307,0.0519567248705507,0.0461123937637888,0.0401679764300961,0.0343862839322846,0.02904327093004,0.0243645007053396,0.0204600223304664,0.0173033812852449,0.0147640274715698,0.0126671726882838,0.010854257082923,0.00922129660742729,0.00772425642508026,0.00636417413685666,0.00515954001714414,0.00412360994087277,0.00325383906943362,0.00253368619079291,0.00194116725579642,0.00145758036357483,0.0010694704400938,0.000766269374204247,0.000536925103793798,0.000368393940534633,0.000246976614122236,0.000160637289095771,0.000100153680320385,5.1776853898814e-05,2.96822309400674e-05,1.54894552989675e-05,7.3275718618949e-06,3.13454658328132e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_10",0.00479672342433704,0.00823932588146558,0.0131891621573675,0.0197257460542746,0.0276429516097712,0.0364185434401754,0.0452808801056106,0.0533671116570032,0.0599166536492056,0.0644354312597652,0.0667511567202637,0.0669317520464807,0.0652250044146353,0.0619144408997369,0.0573092454046291,0.0517609311718973,0.0456877718451053,0.0395513585858818,0.033779924520259,0.0286794031287541,0.0243698017682162,0.0208031989779348,0.0178257120544861,0.0152632073413524,0.0129887557045395,0.0109431937917117,0.00912270571423517,0.00754709759695217,0.00622702130563952,0.00514665177851183,0.00426739551305178,0.00353708577204515,0.00290859065123453,0.0023496807855278,0.00184661116140005,0.00140001688395792,0.00101749515140484,0.000705728684927645,0.000466259106929109,0.000292986404572639,0.000175220099575386,9.97556845566349e-05,5.39850534319368e-05,2.00750597556887e-05,1.06607955211963e-05,5.22750378768523e-06,2.36167812143425e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_11",0.00387066253956488,0.00652139379428206,0.0103787419906467,0.0156183133131767,0.0222443943591316,0.0300224026038571,0.0384615427770522,0.0468686206956957,0.0544748030021922,0.0605871589731114,0.0647174011116511,0.0666149866395928,0.0662845920605887,0.0639260854657492,0.0598930025275402,0.0546620096560383,0.0487722177094838,0.0427545922763954,0.0370461713702777,0.0319307837838228,0.027510623932034,0.0237459168333737,0.0205098347917664,0.0176623428931126,0.0151022827706453,0.0127863705391168,0.0107167606188409,0.00891728905275838,0.00739731171835791,0.00614122859285899,0.00510805352197666,0.00424493075597717,0.00350238260841709,0.00284682084012233,0.00226279672551392,0.00174851229771862,0.00130889705392192,0.000948506014299344,0.000666139280864968,0.000454334691585928,0.000301565559316352,0.000194775761316349,0.000121956652769523,6.68957536827907e-05,4.0208083809574e-05,2.26872045151034e-05,1.200011714976e-05,5.9464706671474e-06,2.75221365998517e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
