"BMI_9","BMI_10","BMI_11","BMI_12","BMI_13","BMI_14","BMI_15","BMI_16","BMI_17","BMI_18","BMI_19","BMI_20","BMI_21","BMI_22","BMI_23","BMI_24","BMI_25","BMI_26","BMI_27","BMI_28","BMI_29","BMI_30","BMI_31","BMI_32","BMI_33","BMI_34","BMI_35","BMI_36","BMI_37","BMI_38","BMI_39","BMI_40","BMI_41","BMI_42","BMI_43","BMI_44","BMI_45","BMI_46","BMI_47","BMI_48","BMI_49","BMI_50","BMI_51","BMI_52","BMI_53","BMI_54","BMI_55","BMI_56","BMI_57","BMI_58","BMI_59","BMI_60","BMI_61","BMI_62","BMI_63","BMI_64","BMI_65","BMI_66","BMI_67","BMI_68","BMI_69","BMI_70","BMI_71","BMI_72","BMI_73"
"Age_2",9.38452598398596e-06,0.000190362152202446,0.00103226800435461,0.00638158886440399,0.0366923602449679,0.123900329335918,0.22961166755162,0.263319189611621,0.185054113769613,0.0813916271370923,0.0298824537717644,0.0150918096101246,0.00808913895933565,0.0029391985433995,0.00349437946490912,0.00413848296317775,0.00214247152537066,0.000809592609882937,0.00228962436061515,0.00228562396467599,0.000836921944107854,0.000384648119218418,3.27629656407974e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_3",6.98402225160414e-06,0.000158709809944175,0.000976446423833014,0.00696395879116378,0.0375936280515987,0.118601327820941,0.221731529123323,0.255299374979095,0.182613524181537,0.0833576755369032,0.031856968024556,0.0168922328513573,0.0110455517543676,0.00608974046710694,0.00703435853702783,0.00576463086922702,0.00358663777301901,0.00301402377866941,0.00374472003412159,0.00257276546474529,0.000744760315996095,0.000325533022820518,2.49183663951093e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_4",7.56591834927925e-06,0.000142842999220718,0.00100922983807551,0.00722649257966914,0.0376992602711154,0.114541821672932,0.209107728057002,0.239196482360081,0.178388943165364,0.0910149957342586,0.0411786115598586,0.0249940831997406,0.0167113082231716,0.00864926042422132,0.00717527801186155,0.00621057896889745,0.00479649413230094,0.00389142515877111,0.00408686715110083,0.00283954423164465,0.000801798655718726,0.000303828513297486,2.55591733475533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_5",5.98248612539525e-06,0.000158786862075244,0.00110166474421701,0.00742256861746499,0.0363063744113321,0.108198460248758,0.200462447189839,0.230860022770962,0.171877693661815,0.0902042672583729,0.0428884415777113,0.0295295050923044,0.0224732801109428,0.0145240375274967,0.0120296601170451,0.00945762704790103,0.00615390456954715,0.00434026157769294,0.00521445455867352,0.00394406283411895,0.00149508301417801,0.000426258255003786,2.05384506354287e-05,1.49535268390252e-07,3.9020576491491e-06,0.00013310460568909,0.000463855015796289,0.000275060798919669,2.85450024640142e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_6",6.37820806206662e-06,0.000191832409672604,0.00139768796244442,0.00825838098676811,0.0352898808896324,0.100408980867341,0.18329626052743,0.213316043465767,0.165819648701353,0.0959877437905853,0.0497347948982426,0.0332657811905662,0.0268522013805981,0.0207155661843513,0.0164151985868127,0.0130353730018143,0.00926885572594632,0.00632883790553709,0.00703821101805347,0.00614448518646946,0.00376779360503741,0.00175586406068855,0.000386144612292093,0.000324301920203922,0.000189415090692908,0.000133068450514243,0.000400617626485696,0.000242618339755283,2.80334068821689e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_7",0.000123419736940913,0.000835046731298117,0.00390961006233,0.0139373088307161,0.0416030292045883,0.0975759330143223,0.16191014407762,0.181379414634375,0.146069872900817,0.0962587072095506,0.0606365684011528,0.0422062379296352,0.0330472650388253,0.0271501874929346,0.021692846072067,0.0168294559929326,0.0134786347711705,0.0114893765169337,0.0106690790416832,0.00815074850547327,0.00519338589517649,0.00279739267835753,0.000877291005423579,0.000451413828746142,0.000235096053062312,0.000255158900051287,0.000731044423011058,0.000448188453352063,5.81425974539765e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_8",0.000693547983750305,0.00246779496428149,0.00738266424796476,0.0194709052879726,0.0455694092475409,0.0886337802109388,0.132705580728173,0.149309892297701,0.131977096928322,0.100621745169071,0.0731008715680493,0.0538332236828663,0.0414291530678253,0.032921507657844,0.0260207677546635,0.0204733736527048,0.0166732867764449,0.0143772594000742,0.0123983882006762,0.00965297545593484,0.00716797128309761,0.00502702595986516,0.00281102480493294,0.00136330831691071,0.000682378913044949,0.000520274398151548,0.000618955572870264,0.000455867799608552,0.000257285138426111,0.000349071214812265,0.000418852088188007,0.000345102037845649,0.000203428837532184,5.92955394236707e-05,6.93381249065062e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_9",0.00125680866251544,0.00354557867577123,0.00899276853539427,0.0207513434873186,0.0427872966642651,0.0750059558234418,0.106963692920955,0.123117038774484,0.118371237326626,0.101001036795676,0.0811835725296809,0.0643399766045297,0.051623606270979,0.0416936594875808,0.0331353801098741,0.0259339758207394,0.0207489831582401,0.0174444037549321,0.01487465779599,0.0121568560047883,0.00949343260882138,0.00706338814602634,0.00484395584350623,0.00312142502391121,0.00206014023754754,0.00162337463517587,0.00149517257291533,0.00129389708529013,0.00105070225853629,0.00090088485744214,0.000741630498479815,0.000512693588460869,0.000279558932968987,0.000107261964997289,1.97203102533158e-05,2.52071013395578e-06,2.98840556099188e-07,1.88029634616226e-06,1.44391866385601e-05,5.86562378434884e-05,0.00012603740214763,0.000143167021589628,8.60067986912231e-05,2.73398654527597e-05,4.58587248505591e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_10",0.00195495921402111,0.00491652884811694,0.0111813137527696,0.0228227813528007,0.0411824348009544,0.0645537556552676,0.0871006834955275,0.101469565710324,0.103969063349357,0.0966015760132163,0.0843722369285631,0.0714327010481046,0.0596258617363163,0.0491332110143283,0.039818420440776,0.0319222510546044,0.0257781651275151,0.0212460582452982,0.0176872832820747,0.0144929542225594,0.0114670369615281,0.00871068136619034,0.00636825842435337,0.00453973515010583,0.00325869438884335,0.00246505173106894,0.00199973693922408,0.00169169123350478,0.00145191551614085,0.00124542806997818,0.00103888295391854,0.000821558458580696,0.000625325618550226,0.000492336852688485,0.000430285931454505,0.00040241467369716,0.000370824778497848,0.00032829527285385,0.00028222049624707,0.000237789451392625,0.000196205939430638,0.000150281103555803,9.62320682958995e-05,4.71162112176097e-05,1.60928353037237e-05,4.10228088223081e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_11",0.00177610765508824,0.0042768889423103,0.00942085810167529,0.0187434874311786,0.0331964452462498,0.0517851378785361,0.0708840644426578,0.0856237866845557,0.0927353369299562,0.0921475572379267,0.0861538050861496,0.0774284022427781,0.067734607943322,0.0578998985845082,0.0483594751858256,0.0395820531554679,0.0320284961966517,0.0258471082040555,0.0208014199475406,0.0165651243352596,0.0129956150553586,0.010109840930779,0.00790995924369059,0.00632229011038663,0.00522942454895546,0.00448498697926036,0.00391240833841373,0.00336389896251122,0.00278553024058882,0.00220287231515403,0.00166254551237519,0.00120701715220454,0.00087355803479418,0.000674065420358332,0.000575880225727964,0.000516304143570884,0.000450435369129325,0.000375013348628368,0.000305718217651151,0.000251473871714883,0.00021084440686264,0.000177430010478759,0.000145253848459836,0.000111874664835515,7.65438862326947e-05,4.59568545209671e-05,2.22965996411349e-05,8.45026716212809e-06,2.45000886012142e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
