"BMI_9","BMI_10","BMI_11","BMI_12","BMI_13","BMI_14","BMI_15","BMI_16","BMI_17","BMI_18","BMI_19","BMI_20","BMI_21","BMI_22","BMI_23","BMI_24","BMI_25","BMI_26","BMI_27","BMI_28","BMI_29","BMI_30","BMI_31","BMI_32","BMI_33","BMI_34","BMI_35","BMI_36","BMI_37","BMI_38","BMI_39","BMI_40","BMI_41","BMI_42","BMI_43","BMI_44","BMI_45","BMI_46","BMI_47","BMI_48","BMI_49","BMI_50","BMI_51","BMI_52","BMI_53","BMI_54","BMI_55","BMI_56","BMI_57","BMI_58","BMI_59","BMI_60","BMI_61","BMI_62","BMI_63","BMI_64","BMI_65","BMI_66","BMI_67","BMI_68","BMI_69","BMI_70","BMI_71","BMI_72","BMI_73"
"Age_2",0,0,0.000542710863880801,0.00852669743509703,0.0483817836420351,0.160557313854146,0.269724978985389,0.254734662934493,0.149083767195869,0.0603690312628406,0.0258750830923378,0.00886604361360065,0.00341376483216836,0.00314062582543721,0.00182780531830545,0.00178931257312125,0.00181801595925584,0.000836710769176194,0.000346664176157002,5.08525825775092e-05,5.48521524284425e-05,5.42044554032883e-05,5.11847628072731e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_3",0,0,0.000511070871531786,0.00869484316337511,0.0481792989973498,0.16275747332308,0.277125911967571,0.245273981838258,0.141726654309368,0.0596127995734157,0.0280937246231641,0.0110769084270501,0.0046043735485777,0.00496406825695805,0.00260242761424741,0.00185983912794206,0.00152845455528485,0.000736727218928784,0.00043747483040356,0.000115898736942263,4.88178693471602e-05,4.43441708753206e-05,4.90697632949858e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_4",0,0,0.000519473985878916,0.00850069551089057,0.0469953821052512,0.158864322641857,0.274048573476451,0.2355978139006,0.140453214889634,0.0629901589122029,0.0324346954331821,0.0138894451486623,0.00615365645852764,0.00740102781967776,0.00511280299422972,0.00310171416906808,0.00171092008297131,0.000788856964262811,0.000675123136670484,0.000276752326120326,0.000131721034667785,0.000148277240523832,4.75558195301125e-05,1.8656318715612e-06,2.38862978838682e-07,1.37375894401795e-05,8.46819122763815e-05,5.37565667790801e-05,3.53538579432594e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_5",0,0,0.000563307255309036,0.00806052828839819,0.0438687613672859,0.145789222477028,0.251241481287589,0.228227490216326,0.148125948686229,0.0743855471259041,0.0410450541940573,0.0191159931343858,0.0116503067141791,0.00985335289669992,0.00654191552346089,0.00445625907432266,0.00343893652178188,0.00118359048731453,0.000725034425480612,0.000491944155015344,0.000201515478450315,0.000145663193666052,0.000277305927225033,0.00040512657741661,7.22034014081889e-05,1.34168000824827e-05,7.04477010349529e-05,4.60527960503845e-05,3.59429389815964e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_6",0,2.4798152911575e-05,0.000665796261217066,0.0077179380903439,0.0427417311539634,0.137265740380608,0.23577007289323,0.22358760666206,0.152525709438722,0.0836718443639178,0.0451600483033903,0.0224794420011438,0.0144263927442924,0.0121204597321309,0.00820891505199536,0.00535817345580033,0.00397078969875519,0.00148263803879669,0.000714520615611408,0.000490600889499983,0.000410528482658722,0.000366579298965782,0.000295189220441318,0.000352918115949235,7.00413137052868e-05,1.35010955211589e-05,6.22357650664389e-05,4.18910061435701e-05,3.8977731572931e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_7",2.69850482443986e-06,5.77666987933794e-05,0.000957979492545008,0.00909031451573824,0.0464167816867678,0.131671180640584,0.208383103655762,0.198499467209369,0.145744213242722,0.0933950115588274,0.0558154774104877,0.0320792039882038,0.0231760645971764,0.0181512694766214,0.012045651540473,0.00751001066964984,0.00522541843912785,0.00392687098557082,0.0038037707375012,0.00203764155260244,0.000711682851006335,0.000398760240547543,0.000336488392194081,0.000338529443973572,0.000100961028210975,2.30130307571234e-05,5.33851716310001e-05,4.00814736690851e-05,7.20176466142696e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_8",1.34191900909098e-05,0.000174453923659282,0.00185035786918928,0.011944541651544,0.0472529883626867,0.116992165123019,0.177912910177636,0.177615226578672,0.140973578179583,0.101288085207161,0.0683036525729402,0.0431659383018911,0.0312511111335716,0.0243889189277226,0.017320722085797,0.0119876262971355,0.00833810309954864,0.00596791408354647,0.00512983181378463,0.00357827995064955,0.00169274749450822,0.000802772060928833,0.000606880980914732,0.000420061358880657,0.000233878178075675,0.000174215163588547,0.00017460743919813,0.000197796960422493,0.000176760802538964,6.29265029808353e-05,7.52852813617162e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_9",0.000127327973581262,0.000821847581303027,0.00431749683316619,0.0168313310874819,0.0475301244589757,0.0958910797066496,0.137855647041233,0.149015893318768,0.13454669821681,0.109991384075428,0.0828458693614987,0.0582299670220946,0.0412828150614942,0.030726392637695,0.0233668964797707,0.0175722065801833,0.012512250550416,0.00898478660832171,0.00735301915963089,0.00608605843673599,0.00445018616715262,0.00294804137785099,0.00188371687384591,0.00127606994793532,0.000961463823827334,0.00067648416538525,0.000553916836822326,0.000605140437251208,0.00048803094802238,0.000212455024085331,4.83727867380536e-05,6.50464336214597e-06,5.24776483698971e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_10",0.000320590033782482,0.00141497266897956,0.00548367760392838,0.0172116251562795,0.0417903661966929,0.077122699239868,0.109934456603578,0.127017472555063,0.126426174061563,0.112865682637165,0.0918999762334963,0.0701246256677382,0.0525028177607198,0.039656350483297,0.030314533867938,0.023312989830368,0.0177561531719742,0.0135124632715618,0.010567202211895,0.00824296860656333,0.00604667158900286,0.00416077380315488,0.00294333877209718,0.00237679114260796,0.00201209347401855,0.00155643053518609,0.00114487395825366,0.000905696098925242,0.000705348657831522,0.000430783329686755,0.000180291231336479,4.94976248465805e-05,9.04236713418068e-06,5.69553467832693e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_11",0.00031675400278767,0.00128150777035569,0.00460385352533359,0.01370161153245,0.0324238526149624,0.0602306406870417,0.0891241753636682,0.109509542738312,0.117271407016077,0.112992730063296,0.0995734289051125,0.0821357537624667,0.0655681269012697,0.0516551669697752,0.0400300009627079,0.0302591408011525,0.0223824726919047,0.0164970360486928,0.0123460472085088,0.0093582311002693,0.00705294972104847,0.005236239418922,0.00390635388586424,0.00303209809224582,0.00238774843491221,0.00182832718447128,0.00145124744981388,0.00124091261807138,0.000984370376011045,0.000642524036225229,0.00038813683708351,0.000270714146949513,0.000186139257255358,9.39312569899333e-05,3.05399512214753e-05,6.28666677056892e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_12",3.84928994045299e-05,0.000281258444920592,0.0013980750239849,0.00511601838469661,0.0140471335586995,0.02990110262438,0.05158099314285,0.0758569857378902,0.0985334665451914,0.114284677293441,0.118518488359345,0.110577882913896,0.0938095576106507,0.0735121622231747,0.0546309117185502,0.03979968839452,0.0293576277441844,0.0221314244359243,0.0166514241483705,0.0123429771620316,0.00901189965985734,0.0065045897601961,0.00490650707119993,0.00397462648666554,0.00322650523111941,0.00261656492201924,0.00222428072348472,0.00187133780687663,0.0014238671343537,0.000921697160394182,0.000497270068162512,0.000247517068351646,0.000126351916334087,5.48858342637745e-05,1.79967308247246e-05,3.75405979008197e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_13",2.95457413825268e-05,0.000215281034914733,0.00104461227802774,0.0037782072803005,0.010487546457267,0.0231786258952969,0.0423864593520315,0.0663408740948955,0.0907958741746062,0.109659642076304,0.117689226266094,0.113374859802507,0.0991500845134312,0.0800380130140985,0.0611974474161836,0.0455585521292294,0.0338179439689162,0.0253611749677917,0.0190231770459563,0.0140086249962958,0.0101053964546016,0.00733477858721481,0.00562733310515183,0.00458569493658011,0.0037597617794738,0.00306628806283986,0.00253528693644225,0.00203109848669787,0.00146973226867108,0.00091670158509272,0.000488706084293826,0.000244264451869412,0.000125509054677283,5.6107599228511e-05,1.95139681644972e-05,4.46562911342773e-06,6.5926059058859e-07,6.2898304728974e-08,1.34115107899246e-08,1.40475225769325e-07,1.31636123472597e-06,7.96452446467215e-06,3.08677065524381e-05,7.67273145640535e-05,0.000122436913350785,0.000125322811566247,8.2345947318571e-05,3.4704252309408e-05,9.39377663463515e-06,1.63285072947493e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_14",1.40251444485008e-05,0.000121836132632442,0.000660294215438155,0.00256328249637636,0.00750548879950546,0.0174656527464548,0.0338456779653193,0.0563995175250071,0.0822269600720741,0.105265571755626,0.118570266154461,0.118462651454638,0.106395591168073,0.0874674137486769,0.0674642353583172,0.0499985972624757,0.0364568067597075,0.02679847353427,0.0198918230793116,0.0146844981745463,0.010723716175353,0.00788367918650327,0.00616220977509415,0.00521672052049867,0.0044450536608027,0.00364833136504566,0.00293595726605905,0.00228272848846549,0.00163044948536948,0.00103626658055781,0.00060964477789493,0.000362213556691451,0.000200430063566824,8.42547938413444e-05,2.38592663912118e-05,3.53014401763927e-06,4.43486175525604e-07,3.47483560258814e-08,6.03243279688305e-09,8.19419913546015e-08,9.2822276784814e-07,6.54131967259265e-06,2.84390899964513e-05,7.6372891661628e-05,0.0001267629515642,0.000130051929346112,8.24659357612685e-05,3.23378058402759e-05,7.82499092401645e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_15",6.3935883723315e-06,6.02964721648066e-05,0.000351412633402817,0.00149584618555436,0.00480729367659292,0.0122371980387786,0.025842874708569,0.0467884278629072,0.0734854473594575,0.0999217762028889,0.117712628549383,0.121468889765419,0.111828081549641,0.0938499636482081,0.0734253473812777,0.0546857471791374,0.0399552396906106,0.0295359152510463,0.0220785347437827,0.0164922890338397,0.0122770349933719,0.00914144728751796,0.00711023352345846,0.00596287601079667,0.00504391917657062,0.00403734297897841,0.00309517131938573,0.00229818759339874,0.00159991711462024,0.00100739299434231,0.000602967845261087,0.000402614170880541,0.000310081875674232,0.000248893456309552,0.000181541171268649,9.99348111729731e-05,3.61215960434308e-05,8.02140285291475e-06,8.0486384303832e-08,9.64589196414335e-08,1.01629162685607e-06,6.9440549309058e-06,2.96995447497601e-05,7.87611957356485e-05,0.000129925080317666,0.000133210075823489,8.4959909592719e-05,3.36956909527323e-05,8.30836802738835e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_16",0,7.98209264585625e-06,0.000127765145441103,0.0007404516848949,0.00299111079410926,0.00893850375191983,0.0210516496696895,0.0410889491718364,0.0679999323317775,0.0959022516877099,0.116061645771592,0.122525470192999,0.115052366255535,0.0981097971830767,0.0776679491394605,0.0583117427229312,0.0429207397549956,0.0319038401040563,0.0237096895200869,0.0174149857152705,0.0127456402739912,0.0093921885969862,0.00731396762027747,0.00624320473256954,0.00542672472727069,0.00441846712870057,0.00335386668367433,0.00241821850055172,0.00164133232239871,0.00103480718633832,0.00069471921373051,0.000627185351666105,0.000622320463589104,0.000511731655726473,0.000321277130999467,0.000146807840863601,4.53239627344136e-05,8.80999354835339e-06,3.35281163123582e-07,9.76537829571645e-08,8.8886697387179e-07,6.44812945815355e-06,2.87208044000698e-05,7.84911168613245e-05,0.000131370893438469,0.000134868741232959,8.48567795911365e-05,3.2760269179001e-05,7.7453882744599e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_17",0,4.86334669496252e-06,7.52016024147304e-05,0.000439083432928957,0.00182582310441526,0.00581935015753607,0.0150286132073927,0.0323885492740395,0.0585502092832617,0.0886398213565504,0.113477463221071,0.125294177097628,0.121500734089129,0.105361262663186,0.0835359814353509,0.0622595498479987,0.0455798217801172,0.0338460030766382,0.0250235532960161,0.0182050558924015,0.0133649350147708,0.0101088449265513,0.00810566676939713,0.00696958572763132,0.00602541037221927,0.00494022528373001,0.00386710241452951,0.00287644282275399,0.00192390643872859,0.00113449912241803,0.000715341065402387,0.000663006598998021,0.000709768088908239,0.000618093924742472,0.000389991339374656,0.000169856330752814,4.86419654673177e-05,8.74130734550127e-06,2.98548438302537e-07,8.39004831914995e-08,8.01118013803215e-07,6.0787327670453e-06,2.79642900781622e-05,7.8033571668843e-05,0.000132115246089845,0.000135654313394641,8.45147223149655e-05,3.19421500006375e-05,7.3367282587903e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_18",0,0,2.09404242554902e-05,0.000164039901773705,0.000861912663167087,0.00342480078250903,0.0105648756489721,0.0258568197441526,0.0509222707080482,0.0817696318717909,0.109440139724833,0.125300975920168,0.125211980453047,0.111064324939892,0.0890762605992853,0.0665525023378649,0.049151615227144,0.0372410969260803,0.0278015558587121,0.0198255327235968,0.0140851538224024,0.0105168979541109,0.00842443973016765,0.0072015671749679,0.00624413085982356,0.00515091831267541,0.00397502492028765,0.00288654079041433,0.00192735021612543,0.00118927901515259,0.00082040343465914,0.000769143016565731,0.000775742351186009,0.000644148945477745,0.00039569562647143,0.000169222852093063,4.74021230107048e-05,8.25352975775777e-06,4.32416375875724e-07,1.36540709484517e-07,1.10326091412134e-06,7.35309473400751e-06,3.07285060800143e-05,8.04535384165766e-05,0.00013179617755001,0.000135189596577303,8.66890687736651e-05,3.47920363632247e-05,8.73463286504331e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_19",0,0,1.75572851074865e-05,0.000135679897236344,0.000711605656888339,0.0028536876144937,0.00897815233307696,0.0226158824412091,0.0460727741535023,0.0764774659245525,0.105362785273321,0.123587713596854,0.126137808429233,0.11395895041628,0.0928023133615506,0.0703934815526514,0.0524490781962409,0.0394113773281608,0.0288701507737706,0.0201610912440582,0.0141258422103065,0.0106422951000964,0.00866627211794341,0.0073062211995757,0.00607511107210353,0.00490167124623718,0.003949861041734,0.00315296170123382,0.00234552811660045,0.0016586452523089,0.00125158923890382,0.00107638206165116,0.000971005887367189,0.000783144277374196,0.00050860708442758,0.000278125844735211,0.000178819910408326,0.000167699297476422,0.000167893456546014,0.000141808977870999,8.78766267958311e-05,4.24719678055407e-05,3.93955050603885e-05,8.22422913713476e-05,0.000133993722989633,0.000137300628556151,8.71630607390711e-05,3.42078691656906e-05,8.30775442931706e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_20",0,3.59482086709464e-06,2.59849200114784e-05,0.000157223402143893,0.000719097357582888,0.00265992188185946,0.00807095487100933,0.020261621962022,0.0419329795013871,0.0711213381159127,0.100208592165348,0.120448347722339,0.125935330277115,0.115885381145055,0.0954276145882579,0.072694423406792,0.0539719868999461,0.0404355236810857,0.0301171777163815,0.0218542687967505,0.0158211726146936,0.0119992893487856,0.00965852997110367,0.00797024596363117,0.0064785878866257,0.00515156704064194,0.0041184163790266,0.00333503521567644,0.00266988282589247,0.00209871777972922,0.00162991838799397,0.00136905335723554,0.0012751108200091,0.00107785184033874,0.000762228260085887,0.000531504167687715,0.000406999982924438,0.000309239889386516,0.00023183773972262,0.000172204404411258,0.000124820435431916,0.000112536125235006,0.000134440932095016,0.000164114968410107,0.000177694116590036,0.000151918098412105,9.1086918978023e-05,3.57260526958169e-05,8.90524468387875e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
