"BMI_9","BMI_10","BMI_11","BMI_12","BMI_13","BMI_14","BMI_15","BMI_16","BMI_17","BMI_18","BMI_19","BMI_20","BMI_21","BMI_22","BMI_23","BMI_24","BMI_25","BMI_26","BMI_27","BMI_28","BMI_29","BMI_30","BMI_31","BMI_32","BMI_33","BMI_34","BMI_35","BMI_36","BMI_37","BMI_38","BMI_39","BMI_40","BMI_41","BMI_42","BMI_43","BMI_44","BMI_45","BMI_46","BMI_47","BMI_48","BMI_49","BMI_50","BMI_51","BMI_52","BMI_53","BMI_54","BMI_55","BMI_56","BMI_57","BMI_58","BMI_59","BMI_60","BMI_61","BMI_62","BMI_63","BMI_64","BMI_65","BMI_66","BMI_67","BMI_68","BMI_69","BMI_70","BMI_71","BMI_72","BMI_73"
"Age_2",0,8.86002040809627e-07,9.11504301129872e-05,0.00262867202581012,0.0269378869592183,0.111950192143015,0.252649489780896,0.302839824418853,0.174771906493023,0.071753712824144,0.0245634321367465,0.0069443408345237,0.00654689319690985,0.00562722765662225,0.00664475806538412,0.0027237790196368,0.000347565156457264,0.00167485027626361,0.00123875128052856,6.46812998136748e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_3",0,6.46136821652386e-07,5.79244084606802e-05,0.00203535453941551,0.0240633436341895,0.108473196506659,0.258088665764892,0.297095044353669,0.166529355471914,0.0718339610285139,0.0319398987963591,0.0105752601232137,0.00649862488853296,0.00473351867373259,0.0060578689416253,0.00533946790504194,0.0038703112569512,0.00174517438220566,0.00102700080678179,3.5382381021506e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_4",0,3.05659188638729e-05,0.000117190720181464,0.00234932458619481,0.0253704601619798,0.107421012079824,0.25232173004082,0.283548368312336,0.159852884036316,0.0771438783563237,0.0400830908834464,0.013565587350987,0.00819304471617794,0.00761699195009484,0.00746920292818589,0.00509034659882637,0.00385469768421602,0.00199737099684167,0.000911398018496644,0.000223843709524527,0.000393037723484029,6.57273243854465e-05,0.000312684940923983,0.00153676162501395,0.000530799336555875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_5",0,2.67644341584419e-05,0.000107080402539799,0.00229244200251786,0.025170174312894,0.103006218030422,0.237324424235913,0.271189432207772,0.156707295669695,0.0817464946371559,0.044422223731589,0.0191030904280071,0.0132193355361403,0.010499862882389,0.0112795866398447,0.0105571392855221,0.00513042477424273,0.00228960460947258,0.00211908068243667,0.00104603709341779,0.000522533206190576,0.000131726174255479,0.000284188591183955,0.00134860496005451,0.000476235472185675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_6",6.48006432835821e-07,2.34068995798837e-05,0.00011317602026728,0.00253670803769035,0.024916946588185,0.0961383631558003,0.22136848051351,0.253910228204686,0.15605012834826,0.0901649654799735,0.0534027771110222,0.0261278726854729,0.0176122739674333,0.0139053072737571,0.015204562278648,0.0123260116211158,0.00579531948915724,0.0031263174259824,0.0030838176648627,0.00169342876719884,0.000503293540633825,0.000126539651646756,0.000279520288309672,0.00113115353547392,0.000442254642911574,1.64988019886198e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_7",1.13600293343647e-06,2.28667891605305e-05,0.000241262649748393,0.00415612472671788,0.0287620774768518,0.0980741213825498,0.202308713423636,0.228229981430935,0.150738173379346,0.0904486537031165,0.0601789810101068,0.0360217530800136,0.0230698749128672,0.0187883224602042,0.0193086056308349,0.0145171775188703,0.00830792924889937,0.00438202647035061,0.00308255084547831,0.00177353961137079,0.00116010644782149,0.002452951121671,0.00200691795822827,0.00120221668217619,0.000506880969370112,6.64599899195867e-05,7.78644359668856e-05,2.25154042210294e-05,1.66042648668568e-06,2.88605700455484e-05,5.26203980803679e-05,7.0738420208964e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_8",2.93324354829902e-06,5.08284608066721e-05,0.000709450777275093,0.00651902268153175,0.030751844937542,0.089292515637186,0.16571799742407,0.188779769497725,0.14611973068077,0.103663519312869,0.0758941331054891,0.0505780041254415,0.0341052511811796,0.0282372509454507,0.02511184433269,0.018235623982798,0.0115818627523555,0.00800792243390759,0.00511019185229714,0.00281369831181386,0.00198549031676823,0.00241907100821123,0.00214245425716902,0.00129350358882889,0.000562098554380949,0.000137071466165488,6.16643683920764e-05,2.6915529353245e-05,5.43189266075906e-06,2.87512357687708e-05,4.28977426647665e-05,1.12543628901353e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_9",6.75133865022269e-06,0.000194833247855208,0.00169263193045723,0.00928252450064395,0.0329575749582455,0.0802819485102768,0.134568470517844,0.156075880170437,0.137439795840295,0.110210068935744,0.0870955104003471,0.0641309556562136,0.0453326870709405,0.0349966780439671,0.029420181830164,0.0230032631165186,0.0162195461377615,0.0114978068764968,0.00806527718423122,0.00492977570205296,0.00321756328781924,0.0028698268613816,0.00234506038335139,0.00141747996485264,0.000642113848786113,0.000223433791026708,0.000153349418671589,0.000322654489229187,0.000557764073408809,0.000526083065738869,0.000256694435419216,6.34158512512295e-05,2.39855992131014e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_10",0.000190018231161547,0.000982449582145006,0.00403578248914157,0.0131215598704872,0.0333444336530453,0.0656626599245703,0.0999375197108196,0.120349247236125,0.121632984645443,0.110808627470877,0.0948089439106795,0.0768121207608973,0.0604030886878792,0.0484443272427991,0.0397295740958681,0.0313107969905108,0.02259167883414,0.0152490949186844,0.010320075070939,0.00727478625748619,0.00532569803428162,0.00409255205208122,0.00323344208285888,0.00238391351544187,0.00148187162802441,0.00076018349752048,0.000418342238084774,0.000409432486534574,0.000498168177959793,0.000463659840404174,0.000293108975341206,0.000122418729252463,3.29829030204208e-05,5.72820044606859e-06,8.83308081523223e-07,3.15583522954108e-06,2.23125800583572e-05,0.000105170516187791,0.000325653200333616,0.000663936248029604,0.000889989985296324,0.000784993073820922,0.000455250784691548,0.000173752307077934,4.3630216242354e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_11",0.000436995505504167,0.0016660549410905,0.00530232610764935,0.0140384092643306,0.0306648201350701,0.0549252641235115,0.0809432177230687,0.100401376342149,0.10905875882766,0.107772792787583,0.0989338134348051,0.0851132368372458,0.0697869384012754,0.0562038987182039,0.0453404674038428,0.0361593243074194,0.0276030728062408,0.0198168145079827,0.0136573144938482,0.00947236035866901,0.00690278935303246,0.0053760648549593,0.00433245273416418,0.00339128662667213,0.0025068934404316,0.00183608474616878,0.00143292553145421,0.0011758787326492,0.000928742484141034,0.000652474625594689,0.000384387088041302,0.000180559483892462,6.5042679354875e-05,1.79923768715064e-05,5.97851294049353e-06,1.40027108887353e-05,5.50784487628719e-05,0.000166031865351442,0.000372590542505369,0.000619431712775355,0.000763595641758945,0.000698115046118927,0.000473239304263111,0.00023790737590807,8.86820192950023e-05,2.4515034854529e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
