"Notes"	"Age"	"Age Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	313730
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"1991"	"1991"	315038
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"1992"	"1992"	314688
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"1993"	"1993"	311894
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	304285
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	294030
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"1996"	"1996"	282378
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"1997"	"1997"	287557
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"1998"	"1998"	290717
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"1999"	"1999"	297942
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2000"	"2000"	306024
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2001"	"2001"	316708
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	308227
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	304284
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	310300
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	318126
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2006"	"2006"	326678
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2007"	"2007"	341912
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	343420
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2009"	"2009"	337020
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2010"	"2010"	330073
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2011"	"2011"	332471
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2012"	"2012"	331336
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2013"	"2013"	333296
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2014"	"2014"	336679
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2015"	"2015"	338497
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2016"	"2016"	335883
