"age_lower","age_upper","sex","race","bmi","n","y"
50,54,"Male","Non_Hispanic_White","uw",1,0
55,59,"Male","Non_Hispanic_White","uw",2,0
60,64,"Male","Non_Hispanic_White","uw",1,0
65,69,"Male","Non_Hispanic_White","uw",1,0
70,74,"Male","Non_Hispanic_White","uw",4,0
75,79,"Male","Non_Hispanic_White","uw",1,0
80,84,"Male","Non_Hispanic_White","uw",1,0
85,99,"Male","Non_Hispanic_White","uw",2,0
50,54,"Male","Non_Hispanic_White","nw",63,1
55,59,"Male","Non_Hispanic_White","nw",41,0
60,64,"Male","Non_Hispanic_White","nw",48,1
65,69,"Male","Non_Hispanic_White","nw",37,1
70,74,"Male","Non_Hispanic_White","nw",59,0
75,79,"Male","Non_Hispanic_White","nw",52,2
80,84,"Male","Non_Hispanic_White","nw",78,2
85,99,"Male","Non_Hispanic_White","nw",51,1
50,54,"Male","Non_Hispanic_White","ow",123,0
55,59,"Male","Non_Hispanic_White","ow",82,1
60,64,"Male","Non_Hispanic_White","ow",82,3
65,69,"Male","Non_Hispanic_White","ow",101,4
70,74,"Male","Non_Hispanic_White","ow",110,7
75,79,"Male","Non_Hispanic_White","ow",88,10
80,84,"Male","Non_Hispanic_White","ow",100,9
85,99,"Male","Non_Hispanic_White","ow",46,1
50,54,"Male","Non_Hispanic_White","ob",90,0
55,59,"Male","Non_Hispanic_White","ob",63,0
60,64,"Male","Non_Hispanic_White","ob",91,5
65,69,"Male","Non_Hispanic_White","ob",73,2
70,74,"Male","Non_Hispanic_White","ob",72,2
75,79,"Male","Non_Hispanic_White","ob",52,3
80,84,"Male","Non_Hispanic_White","ob",34,2
85,99,"Male","Non_Hispanic_White","ob",17,1
50,54,"Female","Non_Hispanic_White","uw",4,0
55,59,"Female","Non_Hispanic_White","uw",1,0
60,64,"Female","Non_Hispanic_White","uw",2,0
65,69,"Female","Non_Hispanic_White","uw",3,0
70,74,"Female","Non_Hispanic_White","uw",5,0
75,79,"Female","Non_Hispanic_White","uw",2,0
80,84,"Female","Non_Hispanic_White","uw",9,0
85,99,"Female","Non_Hispanic_White","uw",1,0
50,54,"Female","Non_Hispanic_White","nw",89,0
55,59,"Female","Non_Hispanic_White","nw",57,1
60,64,"Female","Non_Hispanic_White","nw",71,1
