"age","year","gender","race","N"
0,1975,"Male","Non_Hispanic_White",1625237
1,1975,"Male","Non_Hispanic_White",1543718
2,1975,"Male","Non_Hispanic_White",1515104
3,1975,"Male","Non_Hispanic_White",1501902
4,1975,"Male","Non_Hispanic_White",1522954
5,1975,"Male","Non_Hispanic_White",1518509
6,1975,"Male","Non_Hispanic_White",1470958
7,1975,"Male","Non_Hispanic_White",1503604
8,1975,"Male","Non_Hispanic_White",1448529
9,1975,"Male","Non_Hispanic_White",1516098
10,1975,"Male","Non_Hispanic_White",1526225
11,1975,"Male","Non_Hispanic_White",1433556
12,1975,"Male","Non_Hispanic_White",1389108
13,1975,"Male","Non_Hispanic_White",1392021
14,1975,"Male","Non_Hispanic_White",1340821
15,1975,"Male","Non_Hispanic_White",1376151
16,1975,"Male","Non_Hispanic_White",1355241
17,1975,"Male","Non_Hispanic_White",1416989
18,1975,"Male","Non_Hispanic_White",1484016
19,1975,"Male","Non_Hispanic_White",1691913
20,1975,"Male","Non_Hispanic_White",1692230
21,1975,"Male","Non_Hispanic_White",1610602
22,1975,"Male","Non_Hispanic_White",1539203
23,1975,"Male","Non_Hispanic_White",1554125
24,1975,"Male","Non_Hispanic_White",1618168
25,1975,"Male","Non_Hispanic_White",1699669
26,1975,"Male","Non_Hispanic_White",1750826
27,1975,"Male","Non_Hispanic_White",1795467
28,1975,"Male","Non_Hispanic_White",1743243
29,1975,"Male","Non_Hispanic_White",1912779
30,1975,"Male","Non_Hispanic_White",1889692
31,1975,"Male","Non_Hispanic_White",1819734
32,1975,"Male","Non_Hispanic_White",1837715
33,1975,"Male","Non_Hispanic_White",1826621
34,1975,"Male","Non_Hispanic_White",1818403
35,1975,"Male","Non_Hispanic_White",1793388
36,1975,"Male","Non_Hispanic_White",1712670
37,1975,"Male","Non_Hispanic_White",1680936
38,1975,"Male","Non_Hispanic_White",1563569
39,1975,"Male","Non_Hispanic_White",1652103
40,1975,"Male","Non_Hispanic_White",1595340
41,1975,"Male","Non_Hispanic_White",1531897
42,1975,"Male","Non_Hispanic_White",1540868
43,1975,"Male","Non_Hispanic_White",1657562
44,1975,"Male","Non_Hispanic_White",1232786
45,1975,"Male","Non_Hispanic_White",1234186
46,1975,"Male","Non_Hispanic_White",1205901
47,1975,"Male","Non_Hispanic_White",1284948
48,1975,"Male","Non_Hispanic_White",1062265
49,1975,"Male","Non_Hispanic_White",1099093
50,1975,"Male","Non_Hispanic_White",1027094
51,1975,"Male","Non_Hispanic_White",978293
52,1975,"Male","Non_Hispanic_White",957545
53,1975,"Male","Non_Hispanic_White",915663
54,1975,"Male","Non_Hispanic_White",921483
55,1975,"Male","Non_Hispanic_White",908198
56,1975,"Male","Non_Hispanic_White",867551
57,1975,"Male","Non_Hispanic_White",872008
58,1975,"Male","Non_Hispanic_White",832775
59,1975,"Male","Non_Hispanic_White",919540
60,1975,"Male","Non_Hispanic_White",899033
61,1975,"Male","Non_Hispanic_White",877735
